no,province,provinceID,district,districtID,neighborhood,neighborhoodID
331,Amasya,27,Merzifon,156,Sazlıca Köyü,158939
332,Amasya,27,Merzifon,156,Selimiye Köyü,153655
333,Amasya,27,Merzifon,156,Sofular,158991
334,Amasya,27,Merzifon,156,Şeyhyeni Köyü,135092
335,Amasya,27,Merzifon,156,Tavşan,157543
336,Amasya,27,Merzifon,156,Türkoğlu Köyü,207121
337,Amasya,27,Merzifon,156,Uzunyazı Köyü,153609
338,Amasya,27,Merzifon,156,Yakup Köyü,158387
339,Amasya,27,Merzifon,156,Yalnız Köyü,156339
340,Amasya,27,Merzifon,156,Yaylacık Köyü,152934
341,Amasya,27,Merzifon,156,Yenice Köyü,153046
342,Amasya,27,Merzifon,156,Yenimahalle,171293
343,Amasya,27,Merzifon,156,Yeşilören Köyü,155505
344,Amasya,27,Merzifon,156,Yeşiltepe Köyü,153516
345,Amasya,27,Merzifon,156,Yolüstü Köyü,156532
346,Amasya,27,Merzifon,156,Yukarıbük Köyü,159128
347,Amasya,27,Merzifon,156,Yunus Emre,180682
348,Amasya,27,Suluova,157,Akören Köyü,133937
349,Amasya,27,Suluova,157,Alabedir Köyü,153149
350,Amasya,27,Suluova,157,Armutlu Köyü,203121
351,Amasya,27,Suluova,157,Arucak Köyü,156695
352,Amasya,27,Suluova,157,Aşağı Karasu Köyü,153307
353,Amasya,27,Suluova,157,Ata,154597
354,Amasya,27,Suluova,157,Ayrancı Köyü,134697
355,Amasya,27,Suluova,157,Bayırlı Köyü,154724
356,Amasya,27,Suluova,157,Beyazıt,155005
357,Amasya,27,Suluova,157,Bireylül,154631
358,Amasya,27,Suluova,157,Borsa,157073
359,Amasya,27,Suluova,157,Borsa 1 A,134698
360,Amasya,27,Suluova,157,Boyalı Köyü,134414
361,Amasya,27,Suluova,157,Cevizdibi,156602
362,Amasya,27,Suluova,157,Cumhuriyet,157909
363,Amasya,27,Suluova,157,Cürlü Köyü,157463
364,Amasya,27,Suluova,157,Çayüstü Köyü,152111
365,Amasya,27,Suluova,157,Çukurören Köyü,156013
366,Amasya,27,Suluova,157,Derebaşalan Köyü,157371
367,Amasya,27,Suluova,157,Dereköy Köyü,153789
368,Amasya,27,Suluova,157,Deveci Köyü,156329
369,Amasya,27,Suluova,157,Eğribük Köyü,153948
370,Amasya,27,Suluova,157,Eraslan Köyü,160559
371,Amasya,27,Suluova,157,Eski Çeltek,154099
372,Amasya,27,Suluova,157,Eymir,158587
373,Amasya,27,Suluova,157,Feruz (Ortayazı) Köyü,157476
374,Amasya,27,Suluova,157,Girne,155669
375,Amasya,27,Suluova,157,Girne 1-A,160145
376,Amasya,27,Suluova,157,Hacı Bayram,158951
377,Amasya,27,Suluova,157,Hacıhayta,158557
378,Amasya,27,Suluova,157,Hakala (Yolpınar) Köyü,156740
379,Amasya,27,Suluova,157,Harmanağılı Köyü,158010
380,Amasya,27,Suluova,157,Hürriyet,154436
381,Amasya,27,Suluova,157,Kanatpınar Köyü,155317
382,Amasya,27,Suluova,157,Kapancı Köyü,153790
383,Amasya,27,Suluova,157,Karaağaç Köyü,153949
384,Amasya,27,Suluova,157,Kazanlı Köyü,134063
385,Amasya,27,Suluova,157,Kerimoğlu Köyü,158375
386,Amasya,27,Suluova,157,Kıranbaşalan Köyü,156014
387,Amasya,27,Suluova,157,Kolay Köyü,156753
388,Amasya,27,Suluova,157,Kulu Köyü,153047
389,Amasya,27,Suluova,157,Kurnaz Köyü,156768
390,Amasya,27,Suluova,157,Kuzalan Köyü,158763
391,Amasya,27,Suluova,157,Küpeli Köyü,158764
392,Amasya,27,Suluova,157,Maarif,203120
393,Amasya,27,Suluova,157,Magosa,152950
394,Amasya,27,Suluova,157,Oğulbağı Köyü,153862
395,Amasya,27,Suluova,157,Orta,158078
396,Amasya,27,Suluova,157,Özalakadı Köyü,154596
397,Amasya,27,Suluova,157,Pazar,158109
398,Amasya,27,Suluova,157,Salucu Köyü,158873
399,Amasya,27,Suluova,157,Saraydüzü,205803
400,Amasya,27,Suluova,157,Saygılı Köyü,158093
401,Amasya,27,Suluova,157,Seyfe Köyü,154595
402,Amasya,27,Suluova,157,Sinezi Köyü,153863
403,Amasya,27,Suluova,157,Soku Köyü,135094
404,Amasya,27,Suluova,157,Şeker,158856
405,Amasya,27,Suluova,157,Uzunoba Köyü,157046
406,Amasya,27,Suluova,157,Yeni,156185
407,Amasya,27,Suluova,157,Yenidoğan,156410
408,Amasya,27,Suluova,157,Yüzbeyi Köyü,154803
409,Amasya,27,Taşova,158,Alçakbel Köyü,48244
410,Amasya,27,Taşova,158,Alpaslan Köyü,47218
411,Amasya,27,Taşova,158,Altınlı Köyü,47290
412,Amasya,27,Taşova,158,Andıran Köyü,48274
413,Amasya,27,Taşova,158,Ardıçönü Köyü,47494
414,Amasya,27,Taşova,158,Arpaderesi Köyü,47444
415,Amasya,27,Taşova,158,Ballıca Köyü,47173
416,Amasya,27,Taşova,158,Belevi Köyü,47078
417,Amasya,27,Taşova,158,Boraboy Köyü,205318
418,Amasya,27,Taşova,158,Çakırsu Köyü,47473
419,Amasya,27,Taşova,158,Çalkaya Köyü,47423
420,Amasya,27,Taşova,158,Çambükü Köyü,48400
421,Amasya,27,Taşova,158,Çaydibi Köyü,47402
422,Amasya,27,Taşova,158,Çılkıdır Köyü,48612
423,Amasya,27,Taşova,158,Dereköy Köyü,47220
424,Amasya,27,Taşova,158,Dereli Köyü,47264
425,Amasya,27,Taşova,158,Destek Köyü,47140
426,Amasya,27,Taşova,158,Devre Köyü,48332
427,Amasya,27,Taşova,158,Doğu,47145
428,Amasya,27,Taşova,158,Dörtyol Köyü,48374
429,Amasya,27,Taşova,158,Durucasu Köyü,48246
430,Amasya,27,Taşova,158,Elmakırı Köyü,47512
431,Amasya,27,Taşova,158,Esençay Köyü,47070
432,Amasya,27,Taşova,158,Gemibükü Köyü,47058
433,Amasya,27,Taşova,158,Geydoğan Köyü,47244
434,Amasya,27,Taşova,158,Gökpınar Köyü,48243
435,Amasya,27,Taşova,158,Güngörmüş Köyü,48141
436,Amasya,27,Taşova,158,Gürsu Köyü,47441
437,Amasya,27,Taşova,158,Güvendik Köyü,47538
438,Amasya,27,Taşova,158,Hacıbey Köyü,136679
439,Amasya,27,Taşova,158,Hüsnüoğlu Köyü,47436
440,Amasya,27,Taşova,158,Ilıca Köyü,155134
441,Amasya,27,Taşova,158,Ilıpınar Köyü,47508
442,Amasya,27,Taşova,158,Karabük Köyü,47277
443,Amasya,27,Taşova,158,Karamuk Köyü,156437
444,Amasya,27,Taşova,158,Karlık Köyü,47352
445,Amasya,27,Taşova,158,Karsavul Köyü,47475
446,Amasya,27,Taşova,158,Kavaloluğu Köyü,47184
447,Amasya,27,Taşova,158,Kırkharman Köyü,156227
